source,sourceLabel,audience,tier,sheetGroup,name,id,rarity,faction,shipType,roleNote,row,column
main,메인해역,벽청년 이상,SS,구축 DD,Z52,670,UR,철혈,구축,딜탱 / 보조 / 힐,7,2
main,메인해역,벽청년 이상,SS,구축 DD,라피Ⅱ,615,UR,유니온,구축,탱 / 대잠 / 대공,7,4
main,메인해역,벽청년 이상,SS,구축 DD,윌리엄 D 포터,12,UR,유니온,구축,만능 육각형,7,6
main,메인해역,벽청년 이상,SS,경순 CL,시만토,P029,SSR,중앵,경순,"균형잡힌 공방
유틸 + 짤힐",7,12
main,메인해역,벽청년 이상,SS,경순 CL,드 제번 프로빈시엔,686,SSR,튤리퍼,경순,최상위 대공 + 힐,7,14
main,메인해역,벽청년 이상,SS,경순 CL,샌디에이고,36,SSR,유니온,경순,상위 대공 성능,7,22
main,메인해역,벽청년 이상,SS,중순 / 대순 CA,괌,616,UR,유니온,대순,"최상급 대공
최상급 탱킹",7,24
main,메인해역,벽청년 이상,SS,중순 / 대순 CA,하우덴 리우,P042,UR,튤리퍼,중순,"탱 / 딜 / 보조 / 힐
꽉찬 육각형",7,26
main,메인해역,벽청년 이상,SS,버퍼 / 디버퍼,엘드릿지,28,SSR,유니온,구축,"전열 탱 보조 1황
구축 탱커 1황
개장 필요",7,36
main,메인해역,벽청년 이상,S,구축 DD,트라팔가,689,UR,로열,구축,대공 / 지원탄막,11,8
main,메인해역,벽청년 이상,S,경순 CL,플리머스,P023,UR,로열,경순,"경순 딜러 1황
기함 전함 딜버프",11,12
main,메인해역,벽청년 이상,S,중순 / 대순 CA,브레스트,P027,UR,아이리스,대순,"쫄팟 보스팟
둘다 탱잘함",11,24
main,메인해역,벽청년 이상,S,중순 / 대순 CA,나폴리,P035,UR,사르데냐,중순,"실드 무시 딜러
탱커",11,26
main,메인해역,벽청년 이상,S,중순 / 대순 CA,에기르,P020,UR,철혈,대순,보스 전용 탱커,11,28
main,메인해역,벽청년 이상,S,중순 / 대순 CA,앵커리지,P018,SSR,유니온,중순,연막탄 탱킹 보조,11,30
main,메인해역,벽청년 이상,S,버퍼 / 디버퍼,잔 다르크,454,SSR,아이리스,경순,탱커 보조,11,36
main,메인해역,벽청년 이상,A+,구축 DD,펠릭스 슐츠,P030,SSR,철혈,구축,탱커 2황,15,2
main,메인해역,벽청년 이상,A+,경순 CL,닝하이,258,SR,동황,경순,,15,13
main,메인해역,벽청년 이상,A+,경순 CL,얏센,257,SR,동황,경순,"태생 보딱 중
탱킹 1황",15,14
main,메인해역,벽청년 이상,A+,경순 CL,토키사키 쿠루미,Z155,SSR,데어라,경순,분신을 활용한 탱,15,16
main,메인해역,벽청년 이상,A+,중순 / 대순 CA,크론시타트,539,UR,노스유니온,대순,"무난하게 좋음
타함대 지원탄막",15,24
main,메인해역,벽청년 이상,A+,중순 / 대순 CA,체셔,P013,SSR,로열,중순,"대공요원 중
2등으로 단단함",15,26
main,메인해역,벽청년 이상,A+,중순 / 대순 CA,라라 사타린 데빌룩,Z111,SSR,투러브,중순,"튼튼한 서포터형
드레이크",15,28
main,메인해역,벽청년 이상,A+,중순 / 대순 CA,야토가미 토카,Z151,SSR,데어라,중순,"기함보호
3번자리 딜러",15,30
main,메인해역,벽청년 이상,A+,중순 / 대순 CA,힌덴부르크,P031,UR,철혈,중순,전열 딜러 1황,15,32
main,메인해역,벽청년 이상,A+,중순 / 대순 CA,운젠,605,UR,중앵,중순,전열 딜러 2황,15,34
main,메인해역,벽청년 이상,A+,버퍼 / 디버퍼,허먼Ⅱ,576,SR,유니온,구축,"대공 / 대잠
공습선도 + 기함보호",15,36
main,메인해역,벽청년 이상,A,구축 DD,잉그레이엄,518,SSR,유니온,구축,대공 / 기타보조,19,2
main,메인해역,벽청년 이상,A,구축 DD,오토 폰 알벤슬레벤,590,SSR,철혈,구축,무난한 탱커,19,4
main,메인해역,벽청년 이상,A,구축 DD,저비스,550,SSR,로열,구축,,19,5
main,메인해역,벽청년 이상,A,구축 DD,모가도르,642,UR,비시아,구축,3번 자리 딜러,19,6
main,메인해역,벽청년 이상,A,구축 DD,유키카제,166,SSR,중앵,구축,무난한 탱커 / 불사,19,8
main,메인해역,벽청년 이상,A,경순 CL,하얼빈,P025,SSR,동황,경순,"높은 공격력
연막탄",19,12
main,메인해역,벽청년 이상,A,경순 CL,노시로,322,SSR,중앵,경순,경장 방뢰요원,19,14
main,메인해역,벽청년 이상,A,경순 CL,아스카,Z101,SSR,섬란 카구라,경순,경순 드레이크,19,16
main,메인해역,벽청년 이상,A,경순 CL,바야르,P037,SSR,아이리스,경순,"5초 무적
준최상급 딜링",19,20
main,메인해역,벽청년 이상,A,경순 CL,류 리온,Z142,SSR,던만추,경순,"준최상급 
3번자리 딜러",19,22
main,메인해역,벽청년 이상,A,중순 / 대순 CA,브렌누스,643,SSR,아이리스,중순,고성능 대체 탱커들,19,24
main,메인해역,벽청년 이상,A,중순 / 대순 CA,프리드리히 카를,640,SSR,철혈,중순,,19,25
main,메인해역,벽청년 이상,A,중순 / 대순 CA,아즈마,P010,UR,중앵,대순,,19,26
main,메인해역,벽청년 이상,A,중순 / 대순 CA,론(µ장비),479,SSR,철혈,중순,,19,27
main,메인해역,벽청년 이상,A,중순 / 대순 CA,드레이크,P014,UR,로열,중순,고출력 중순 표준,19,28
main,메인해역,벽청년 이상,A,중순 / 대순 CA,피츠버그,655,SSR,유니온,중순,딜탱 다 잘함 + 파갑,19,30
main,메인해역,벽청년 이상,A,중순 / 대순 CA,볼티모어,50,SSR,유니온,중순,"미항팟 항공 버퍼
무난한 탱킹",19,32
main,메인해역,벽청년 이상,A,중순 / 대순 CA,이부키,P003,SSR,중앵,중순,쫄팟/단기전의 신,19,34
main,메인해역,벽청년 이상,A,버퍼 / 디버퍼,카자구모,517,SSR,중앵,구축,"공습선도 1황
14지에서 좋음",19,36
main,메인해역,벽청년 이상,A,버퍼 / 디버퍼,스킬라,584,SSR,로열,경순,대공 + 항공뎀증,19,38
main,메인해역,벽청년 이상,A,버퍼 / 디버퍼,글로스터,113,SR,로열,경순,"디버프 완화 (14지)
15지 사용불가",19,40
main,메인해역,벽청년 이상,A,버퍼 / 디버퍼,라임,710,SSR,템페스타,범선,탄약 + 1,19,42
main,메인해역,벽청년 이상,B+,구축 DD,알렌 M. 섬너,508,SSR,유니온,구축,대공,23,2
main,메인해역,벽청년 이상,B+,구축 DD,안샨,253,SR,동황,구축,경장 특화,23,8
main,메인해역,벽청년 이상,B+,구축 DD,타이위안,256,SR,동황,구축,,23,9
main,메인해역,벽청년 이상,B+,구축 DD,카와카제(META),M049,SSR,META,구축,"높은 공격력
순양함 대항 특화",23,10
